,citing author name,citing paper title,cited paper title,affiliated institution,latitude,longitude,county,city,state,country
52,Jongmin Kim,SHARP: A short-word hierarchical accelerator for robust and practical fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Seoul National University,37.46691,126.94771,,Seoul,,South Korea
53,F.J. Hwang,A probability density function generator based on neural networks,Cscc: convolution split compression calculation algorithm for deep neural network,University of Technology Sydney,-33.88325365,151.20032937174193,,Sydney,New South Wales,Australia
54,Jinbin Hu (胡晋彬),Sok: Fully homomorphic encryption accelerators,Poseidon: Practical Homomorphic Encryption Accelerator,Hong Kong University of Science,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
55,Duong Ngoc Phap,Pipelined key switching accelerator architecture for CKKS-based fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Inha University,37.44944305,126.65344455141604,,Incheon,,South Korea
56,Junxue Zhang,Sok: Fully homomorphic encryption accelerators,Poseidon: Practical Homomorphic Encryption Accelerator,Hong Kong University of Science and Technology,22.3387433,114.2619318,,Sai Kung District,Hong Kong,China
57,Hanho Lee,Pipelined key switching accelerator architecture for CKKS-based fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Incheon,37.456,126.7052,,Incheon,,South Korea
58,Adiwena Putra,Strix: An end-to-end streaming architecture with two-level ciphertext batching for fully homomorphic encryption with programmable bootstrapping,Poseidon: Practical Homomorphic Encryption Accelerator,KAIST,36.3918399,127.39911617553201,,Daejeon,,South Korea
59,Junxue Zhang,Sok: Fully homomorphic encryption accelerators,Poseidon: Practical Homomorphic Encryption Accelerator,Hong Kong University of Science,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
60,Aleksandar Krastev,A Tensor Compiler with Automatic Data Packing for Simple and Efficient Fully Homomorphic Encryption,Poseidon: Practical Homomorphic Encryption Accelerator,MIT,42.3582529,-71.0966272383055,Middlesex County,Cambridge,Massachusetts,United States
61,Yunxuan Dong,A time series attention mechanism based model for tourism demand forecasting,Multi-attention deep neural network fusing character and word embedding for clinical and biomedical concept extraction,Guangxi University,22.846517050000003,108.29094394671847,,Nanning,Guangxi,China
62,Tanmay Jain,Latency-memory optimized splitting of convolution neural networks for resource constrained edge devices,Cscc: convolution split compression calculation algorithm for deep neural network,Research Scholar,19.135314700000002,72.91845578360872,,Mumbai,Maharashtra,India
63,Duong Ngoc Phap,Pipelined key switching accelerator architecture for CKKS-based fully homomorphic encryption,Poseidon: Practical Homomorphic Encryption Accelerator,Inha University,37.44944305,126.65344455141604,,Incheon,,South Korea
64,Sangpyo Kim,SHARP: A short-word hierarchical accelerator for robust and practical fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Seoul National University,37.46691,126.94771,,Seoul,,South Korea
65,Sirui Shen,Heterogeneous Reconfigurable Accelerator for Homomorphic Evaluation on Encrypted Data,Poseidon: Practical Homomorphic Encryption Accelerator,The Netherlands,52.24764975,5.541246849406163,,,Gelderland,Netherlands
66,Sirui Shen,Heterogeneous Reconfigurable Accelerator for Homomorphic Evaluation on Encrypted Data,Poseidon: Practical Homomorphic Encryption Accelerator,Amsterdam,52.3730796,4.8924534,,Amsterdam,North Holland,Netherlands
67,Jongmin Kim,HyPHEN: A Hybrid Packing Method and Its Optimizations for Homomorphic Encryption-Based Neural Networks,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Seoul National University,37.46691,126.94771,,Seoul,,South Korea
68,Jung Ho Ahn,High-precision RNS-CKKS on fixed but smaller word-size architectures: theory and application,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Seoul National University,37.46691,126.94771,,Seoul,,South Korea
69,Hanho Lee,Pipelined key switching accelerator architecture for CKKS-based fully homomorphic encryption,Poseidon: Practical Homomorphic Encryption Accelerator,Dept. of Information,16.41705565,120.61358576810503,,Baguio,,Philippines
70,Hanho Lee,Pipelined key switching accelerator architecture for CKKS-based fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Inha University,37.44944305,126.65344455141604,,Incheon,,South Korea
71,Juan Gómez Luna,Evaluating Homomorphic Operations on a Real-World Processing-In-Memory System,Poseidon: Practical Homomorphic Encryption Accelerator,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States
72,Udit Gupta,Gpu-based private information retrieval for on-device machine learning inference,Poseidon: Practical Homomorphic Encryption Accelerator,Assistant Professor,10.8197282,79.612719,Nannilam,,Tamil Nadu,India
73,Negar Neda,CiFlow: Dataflow analysis and optimization of key switching for homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
74,Sooji Han,Sentic parser: A graph-based approach to concept extraction for sentiment analysis,Multi-attention deep neural network fusing character and word embedding for clinical and biomedical concept extraction,Intapp,37.4243473,-122.1359757,Santa Clara County,Palo Alto,California,United States
75,Sangpyo Kim,Toward practical privacy-preserving convolutional neural networks exploiting fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Seoul National University,37.46691,126.94771,,Seoul,,South Korea
76,Ben Reynwar,Rpu: The ring processing unit,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Information Sciences Institute,55.6802582,37.5713164,,Moscow,Moscow,Russia
77,"Ximeng Liu (刘西蒙, Simon)",Sok: Fully homomorphic encryption accelerators,Poseidon: Practical Homomorphic Encryption Accelerator,Fuzhou University,26.0614068,119.19334162717391,,Minhou County,Fujian,China
78,Minas Dasygenis,MiniTomatoNet: a lightweight CNN for tomato leaf disease recognition on heterogeneous FPGA-SoC,Accelerating convolutional neural network by exploiting sparsity on gpus,University of Western Macedonia,40.3227433,21.790230962388137,Kozani Regional Unit,Κοζάνη,Epirus and Western Macedonia,Greece
79,Theodora Sanida,MiniTomatoNet: a lightweight CNN for tomato leaf disease recognition on heterogeneous FPGA-SoC,Accelerating convolutional neural network by exploiting sparsity on gpus,50131,40.30528033333333,21.7869575,Kozani Regional Unit,Κοζάνη,Epirus and Western Macedonia,Greece
80,Prasetiyo,Strix: An end-to-end streaming architecture with two-level ciphertext batching for fully homomorphic encryption with programmable bootstrapping,Poseidon: Practical Homomorphic Encryption Accelerator,Korea Advanced Institute of Science,36.3697191,127.36253700115094,,Daejeon,,South Korea
81,Ke Zhang,Compacting deep neural networks for Internet of Things: Methods and applications,Cscc: convolution split compression calculation algorithm for deep neural network,Hohai University,32.057654850000006,118.755002721604,,Gulou District,Jiangsu,China
82,Harshita Gupta,Evaluating Homomorphic Operations on a Real-World Processing-In-Memory System,Poseidon: Practical Homomorphic Encryption Accelerator,ETH Zurich,47.413218,8.5374914,District Zurich,Zurich,Zurich,Switzerland
83,Ling Xiao,A time series attention mechanism based model for tourism demand forecasting,Multi-attention deep neural network fusing character and word embedding for clinical and biomedical concept extraction,Xuzhou University of technology,34.2146056,117.13807761540775,,Quanshan District,Jiangsu,China
84,Rashmi Agrawal,High-precision RNS-CKKS on fixed but smaller word-size architectures: theory and application,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Boston University,42.3504324,-71.10170122505716,Suffolk County,Boston,Massachusetts,United States
85,Ben Reynwar,CiFlow: Dataflow analysis and optimization of key switching for homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Information Sciences Institute,55.6802582,37.5713164,,Moscow,Moscow,Russia
86,Yuxiang Fu,Heterogeneous Reconfigurable Accelerator for Homomorphic Evaluation on Encrypted Data,Poseidon: Practical Homomorphic Encryption Accelerator,Nanjing University,32.0565957,118.77408832807794,,Gulou District,Jiangsu,China
87,Ahmet Can Mert,REED: chiplet-based scalable hardware accelerator for fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
88,Hanho Lee,Pipelined key switching accelerator architecture for CKKS-based fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Korea,37.9528488,126.73311710879327,,Paju-si,,South Korea
89,Dr. Devendra Kumar Yadav, A clinical named entity recognition model using pretrained word embedding and deep neural networks,Multi-attention deep neural network fusing character and word embedding for clinical and biomedical concept extraction,Bhubaneswar,20.2602964,85.8394521,Bhubaneswar (M.Corp.),Bhubaneswar Municipal Corporation,Odisha,India
90,Negar Neda,Rpu: The ring processing unit,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
91,Wenjie Xiong,Gpu-based private information retrieval for on-device machine learning inference,Poseidon: Practical Homomorphic Encryption Accelerator,Virginia Tech,37.22192675,-80.42728184013652,Montgomery County,Blacksburg,Virginia,United States
92,Jongmin Kim,SHARP: A short-word hierarchical accelerator for robust and practical fully homomorphic encryption,Poseidon: Practical Homomorphic Encryption Accelerator,Seoul National University,37.46691,126.94771,,Seoul,,South Korea
93,Ling Xiao,A time series attention mechanism based model for tourism demand forecasting,Multi-attention deep neural network fusing character and word embedding for clinical and biomedical concept extraction,"Xuzhou University of technology,",34.2146056,117.13807761540775,,Quanshan District,Jiangsu,China
94,Erik Cambria,Sentic parser: A graph-based approach to concept extraction for sentiment analysis,Multi-attention deep neural network fusing character and word embedding for clinical and biomedical concept extraction,Data Science,40.42897495,-86.91481287846574,Tippecanoe County,,Indiana,United States
95,Ankit kumar,[Retracted] Secure Data Deduplication System with Cyber Security Multikey Management in Cloud Storage,Cscc: convolution split compression calculation algorithm for deep neural network,PGDM,17.30853045,78.41278660147832,Rajendranagar mandal,Hyderabad,Telangana,India
96,Jung Hee Cheon,Toward practical privacy-preserving convolutional neural networks exploiting fully homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Seoul National University,37.46691,126.94771,,Seoul,,South Korea
97,Rashmi Agrawal,Gme: Gpu-based microarchitectural extensions to accelerate homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Boston University,42.3504324,-71.10170122505716,Suffolk County,Boston,Massachusetts,United States
98,Jinbin Hu (胡晋彬),Sok: Fully homomorphic encryption accelerators,Poseidon: Practical Homomorphic Encryption Accelerator,Technology,3.16129015,101.56813112882818,,Petaling Jaya,Selangor,Malaysia
99,Austin Ebel,CiFlow: Dataflow analysis and optimization of key switching for homomorphic encryption,Tensorfhe: Achieving practical computation on encrypted data using gpgpu,Columbia University,40.80775585,-73.96161411567529,New York County,New York,New York,United States
